"Интервал дат визита","Визиты","Посетители","Просмотры","Доля новых посетителей","Отказы","Глубина просмотра","Время на сайте"
"2024-05-11","21","19","24","0.5263157894736842","0.19047619047619047","1.1428571428571428","00:01:06"
"2024-05-10","29","29","44","0.8620689655172413","0.20689655172413793","1.5172413793103448","00:03:08"
"2024-05-09","28","25","32","0.72","0.17857142857142858","1.1428571428571428","00:03:26"
"2024-05-08","160","135","264","0.6518518518518519","0.1125","1.65","00:03:17"
"2024-05-07","195","161","276","0.7701863354037267","0.11794871794871793","1.4153846153846155","00:02:20"
"2024-05-06","150","139","201","0.8201438848920862","0.09333333333333334","1.34","00:02:33"
"2024-05-05","28","25","49","0.72","0.14285714285714285","1.75","00:01:48"
"2024-05-04","39","37","60","0.8108108108108109","0.10256410256410256","1.5384615384615385","00:01:48"
"2024-05-03","133","121","190","0.7768595041322314","0.12030075187969924","1.4285714285714286","00:02:36"
"2024-05-02","199","182","315","0.7637362637362637","0.1457286432160804","1.5829145728643217","00:02:38"
"2024-05-01","89","85","177","0.9294117647058823","0.17977528089887643","1.9887640449438202","00:02:11"
"2024-04-30","31","30","43","0.8","0.25806451612903225","1.3870967741935485","00:02:33"
"2024-04-29","31","28","42","0.6785714285714286","0.16129032258064516","1.3548387096774193","00:02:14"
"2024-04-28","24","24","28","0.9166666666666665","0.41666666666666674","1.1666666666666667","00:14:29"
"2024-04-27","88","79","144","0.6835443037974683","0.125","1.6363636363636365","00:03:13"
"2024-04-26","108","98","160","0.7448979591836735","0.08333333333333331","1.4814814814814814","00:02:20"
"2024-04-25","111","108","170","0.7962962962962963","0.16216216216216217","1.5315315315315314","00:02:47"
"2024-04-24","123","114","189","0.7368421052631579","0.10569105691056911","1.5365853658536586","00:03:29"
"2024-04-23","150","140","232","0.7142857142857143","0.14666666666666667","1.5466666666666666","00:03:04"
"2024-04-22","136","123","175","0.7723577235772358","0.10294117647058823","1.286764705882353","00:02:39"
"2024-04-21","22","22","51","0.9545454545454546","0.09090909090909091","2.3181818181818183","00:06:42"
"2024-04-20","24","24","47","0.8333333333333335","0.16666666666666663","1.9583333333333333","00:01:46"
"2024-04-19","113","107","155","0.7102803738317757","0.12389380530973451","1.3716814159292035","00:02:21"
"2024-04-18","138","124","249","0.75","0.12318840579710147","1.8043478260869565","00:03:35"
"2024-04-17","173","153","252","0.738562091503268","0.09826589595375722","1.4566473988439306","00:02:55"
"2024-04-16","168","146","243","0.773972602739726","0.11904761904761903","1.4464285714285714","00:02:36"
"2024-04-15","127","117","197","0.7948717948717949","0.09448818897637795","1.5511811023622046","00:02:27"
"2024-04-14","21","20","30","0.8","0.19047619047619047","1.4285714285714286","00:01:24"
"2024-04-13","29","25","45","0.72","0.10344827586206896","1.5517241379310345","00:01:14"
"2024-04-12","108","102","168","0.6764705882352942","0.12962962962962962","1.5555555555555556","00:01:58"
"2024-04-11","108","88","153","0.6136363636363636","0.1388888888888889","1.4166666666666667","00:03:53"
"2024-04-10","107","95","159","0.6631578947368421","0.14953271028037382","1.485981308411215","00:03:26"
"2024-04-09","148","135","220","0.8222222222222222","0.14189189189189189","1.4864864864864864","00:03:32"
"2024-04-08","116","105","158","0.6952380952380952","0.13793103448275862","1.3620689655172413","00:02:24"
"2024-04-07","22","22","29","0.8181818181818182","0.22727272727272727","1.3181818181818181","00:00:58"
"2024-04-06","23","21","37","0.8095238095238095","0.13043478260869565","1.608695652173913","00:00:58"
"2024-04-05","78","72","104","0.6388888888888888","0.1794871794871795","1.3333333333333333","00:02:27"
"2024-04-04","118","115","173","0.782608695652174","0.1271186440677966","1.4661016949152543","00:03:34"
"2024-04-03","131","118","221","0.7542372881355932","0.10687022900763359","1.6870229007633588","00:03:19"
"2024-04-02","155","139","206","0.7985611510791366","0.1032258064516129","1.3290322580645162","00:02:07"
"2024-04-01","135","124","215","0.75","0.08888888888888889","1.5925925925925926","00:02:14"
"2024-03-31","21","19","22","0.7894736842105263","0.14285714285714285","1.0476190476190477","00:01:08"
"2024-03-30","15","13","22","0.7692307692307694","0.06666666666666667","1.4666666666666666","00:01:39"
"2024-03-29","117","110","189","0.7818181818181819","0.13675213675213677","1.6153846153846154","00:03:17"
"2024-03-28","195","183","321","0.8852459016393442","0.13333333333333333","1.646153846153846","00:04:03"
"2024-03-27","184","172","256","0.8546511627906976","0.14130434782608695","1.391304347826087","00:02:24"
"2024-03-26","153","139","237","0.7985611510791366","0.09803921568627452","1.5490196078431373","00:03:01"
"2024-03-25","146","130","215","0.8","0.14383561643835616","1.4726027397260273","00:01:42"
"2024-03-24","29","29","38","0.8275862068965517","0.48275862068965514","1.3103448275862069","00:00:47"
"2024-03-23","64","60","80","0.8833333333333333","0.5625","1.25","00:00:35"
"2024-03-22","140","126","233","0.8095238095238095","0.12857142857142856","1.6642857142857144","00:02:32"
"2024-03-21","153","139","245","0.8417266187050358","0.1568627450980392","1.6013071895424837","00:03:48"
"2024-03-20","180","163","344","0.8588957055214724","0.1388888888888889","1.9111111111111112","00:03:17"
"2024-03-19","175","149","349","0.7986577181208054","0.09714285714285714","1.9942857142857142","00:05:15"
"2024-03-18","123","111","274","0.8198198198198198","0.15447154471544716","2.227642276422764","00:05:10"
"2024-03-17","22","19","32","0.7894736842105263","0.18181818181818182","1.4545454545454546","00:01:14"
"2024-03-16","24","23","34","0.826086956521739","0.2916666666666667","1.4166666666666667","00:02:01"
"2024-03-15","136","115","203","0.8434782608695653","0.125","1.4926470588235294","00:03:12"
"2024-03-14","132","116","252","0.8448275862068965","0.11363636363636363","1.9090909090909092","00:02:15"
"2024-03-13","114","103","397","0.8640776699029125","0.13157894736842105","3.482456140350877","00:04:40"
"2024-03-12","120","106","267","0.8962264150943396","0.14166666666666666","2.225","00:04:02"
"2024-03-11","111","108","275","0.8796296296296297","0.12612612612612611","2.4774774774774775","00:03:10"
"2024-03-10","20","19","40","0.8947368421052632","0.2","2.0","00:02:07"
"2024-03-09","18","18","50","0.8888888888888888","0.16666666666666663","2.7777777777777777","00:03:32"
"2024-03-08","25","24","44","0.8333333333333335","0.12","1.76","00:02:16"
"2024-03-07","64","61","128","0.8360655737704918","0.21875","2.0","00:01:52"
"2024-03-06","79","71","224","0.8591549295774648","0.189873417721519","2.8354430379746836","00:02:27"
"2024-03-05","58","48","385","0.9166666666666665","0.12068965517241378","6.637931034482759","00:07:42"
"2024-03-04","42","38","102","0.8947368421052632","0.07142857142857142","2.4285714285714284","00:04:04"
"2024-03-03","11","8","73","0.5","0.36363636363636365","6.636363636363637","00:12:37"
"2024-03-02","35","30","51","0.8333333333333335","0.17142857142857143","1.457142857142857","00:00:21"
"2024-03-01","18","15","90","0.8","0.16666666666666663","5.0","00:05:43"
"2024-02-29","43","31","263","0.7741935483870968","0.13953488372093023","6.116279069767442","00:09:26"
"2024-02-28","36","34","91","0.8529411764705883","0.08333333333333331","2.5277777777777777","00:03:12"
"2024-02-27","38","31","86","0.9354838709677419","0.05263157894736842","2.263157894736842","00:03:24"
"2024-02-26","21","18","67","0.9444444444444444","0.09523809523809523","3.1904761904761907","00:08:26"
"2024-02-25","10","8","53","0.875","0.2","5.3","00:05:21"
"2024-02-24","13","6","643","0.8333333333333335","0.0","49.46153846153846","00:30:01"
"2024-02-23","5","3","15","0.6666666666666665","0.0","3.0","00:02:00"
"2024-02-22","2","1","27","0.0","0.0","13.5","00:23:17"
"2024-02-21","4","4","13","1.0","0.0","3.25","00:08:52"
"2024-02-20","1","1","9","0.0","0.0","9.0","00:11:22"
"2024-02-19","5","4","25","0.75","0.4","5.0","00:16:57"
"2024-02-18","1","1","41","0.0","0.0","41.0","01:14:19"
"2024-02-17","1","1","8","1.0","0.0","8.0","00:05:53"
